Sex,AgeGroup,Color1,Color2,Color3,Flower1,Flower2,Flower3
Feminin,Under 18,Verde,Albastru,Maro,Iris,Rose,Carnation
Feminin,Under 18,Rosu,Albastru,Verde,Carnation,Sunflower,Rose
Masculin,18 - 30,Rosu,Verde,Gri,Tulip,Orchid,Daisy
Feminin,Under 18,Rosu,Maro,Verde,Tulip,Sunflower,Orchid
Masculin,Under 18,Albastru,Rosu,Verde,Orchid,Daisy,Carnation
Feminin,Under 18,Verde,Gri,Albastru,Tulip,Daisy,Sunflower
Masculin,Under 18,Gri,Rosu,Albastru,Carnation,Tulip,Rose
Masculin,Under 18,Maro,Verde,Albastru,Rose,Daisy,Tulip
Masculin,18 - 30,Gri,Albastru,Maro,Rose,Tulip,Carnation
Feminin,Under 18,Gri,Albastru,Rosu,Tulip,Rose,Iris
Feminin,Under 18,Maro,Verde,Gri,Cactus,Orchid,Carnation
Feminin,18 - 30,Albastru,Verde,Maro,Iris,Tulip,Lily
Feminin,18 - 30,Albastru,Gri,Rosu,Chrysanthemum,Iris,Daisy
Masculin,Under 18,Maro,Verde,Albastru,Lily,Rose,Iris
Feminin,18 - 30,Maro,Gri,Rosu,Rose,Carnation,Chrysanthemum
Feminin,Under 18,Maro,Gri,Verde,Iris,Lily,Tulip
Masculin,18 - 30,Maro,Rosu,Verde,Tulip,Carnation,Lily
Feminin,Under 18,Verde,Albastru,Rosu,Chrysanthemum,Lily,Cactus
Masculin,18 - 30,Verde,Gri,Maro,Iris,Sunflower,Orchid
Masculin,18 - 30,Maro,Gri,Albastru,Daisy,Lily,Tulip
Masculin,Under 18,Rosu,Verde,Albastru,Daisy,Orchid,Rose
Feminin,18 - 30,Rosu,Maro,Albastru,Cactus,Lily,Daisy
Masculin,Under 18,Gri,Verde,Albastru,Cactus,Rose,Tulip
Feminin,18 - 30,Maro,Gri,Verde,Sunflower,Daisy,Rose
Masculin,Under 18,Albastru,Rosu,Maro,Daisy,Cactus,Lily
Feminin,Under 18,Verde,Gri,Maro,Orchid,Lily,Iris
Feminin,Under 18,Maro,Verde,Gri,Tulip,Cactus,Daisy
Feminin,Under 18,Gri,Maro,Rosu,Daisy,Rose,Cactus
Masculin,18 - 30,Maro,Rosu,Verde,Sunflower,Chrysanthemum,Lily
Feminin,Under 18,Verde,Rosu,Albastru,Carnation,Daisy,Lily
Masculin,Under 18,Maro,Rosu,Albastru,Carnation,Daisy,Chrysanthemum
Feminin,Under 18,Gri,Rosu,Albastru,Sunflower,Carnation,Orchid
Masculin,18 - 30,Albastru,Rosu,Maro,Carnation,Cactus,Chrysanthemum
Feminin,18 - 30,Verde,Rosu,Albastru,Cactus,Orchid,Lily
Feminin,Under 18,Albastru,Maro,Gri,Tulip,Lily,Daisy
Masculin,18 - 30,Maro,Albastru,Rosu,Sunflower,Lily,Tulip
Feminin,Under 18,Maro,Albastru,Rosu,Daisy,Chrysanthemum,Tulip
